Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Start Date,Winner,Series,Team,Opposition,Venue
GJ Maxwell,1,1,4,0,41,2,20.5,10.25,12,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
MA Starc,1,1,5,0,34,2,17,6.8,15,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
AC Agar,2,2,11,0,57,2,28.5,5.18,33,0,0,08-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
SR Watson,2,1,8,0,39,2,19.5,4.87,24,0,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
JP Faulkner,1,1,10,0,67,2,33.5,6.7,30,0,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
SM Boland,2,1,10,0,69,2,34.5,6.9,30,0,0,19-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
SM Boland,2,2,16.2,1,64,2,32,3.91,49,0,0,31-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
SM Boland,1,1,8,0,42,2,21,5.25,24,0,0,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
JW Hastings,1,1,7.5,0,31,2,15.5,3.95,23.5,0,0,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
TM Head,3,2,14,0,68,2,34,4.85,42,0,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
MR Marsh,3,2,11.2,1,64,2,32,5.64,34,0,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
A Zampa,1,1,10,0,66,2,33,6.6,30,0,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
PJ Cummins,3,3,25,2,144,2,72,5.76,75,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
JW Hastings,1,1,9,0,69,2,34.5,7.66,27,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
A Zampa,2,2,12.2,1,65,2,32.5,5.27,37,0,0,05-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
AC Agar,2,2,19,0,125,2,62.5,6.57,57,0,0,21-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
MP Stoinis,5,5,35.5,0,215,2,107.5,6,107.5,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
JA Richardson,1,1,10,1,57,2,28.5,5.7,30,0,0,19-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
MP Stoinis,5,4,21.2,0,134,2,67,6.28,64,0,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
A Zampa,4,4,36,0,215,2,107.5,5.97,108,0,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
MG Neser,2,2,16.4,1,120,2,60,7.2,50,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
PM Siddle,3,3,25,1,162,2,81,6.48,75,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
SA Abbott,1,1,5,0,25,1,25,5,30,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MA Starc,1,1,10,1,33,1,33,3.3,60,0,0,12-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MR Marsh,3,3,15,0,95,1,95,6.33,90,0,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
KW Richardson,1,1,8,0,49,1,49,6.12,48,0,0,19-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
SPD Smith,4,2,8,1,44,1,44,5.5,48,0,0,16-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
SR Watson,5,4,18,0,131,1,131,7.27,108,0,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
XJ Doherty,2,2,13,0,48,1,48,3.69,78,0,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
MC Henriques,1,1,7,0,34,1,34,4.85,42,0,0,23-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
MR Marsh,2,2,10,0,39,1,39,3.9,60,0,0,26-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
MJ Clarke,7,1,5,0,14,1,14,2.8,30,0,0,28-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
GJ Maxwell,1,1,1,0,7,1,7,7,6,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
SM Boland,4,4,39,0,259,1,259,6.64,234,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JR Hazlewood,1,1,10,0,41,1,41,4.1,60,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
NM Lyon,2,2,18,0,134,1,134,7.44,108,0,0,20-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JS Paris,2,2,16,0,93,1,93,5.81,96,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JR Hazlewood,2,2,20,0,107,1,107,5.35,120,0,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
MC Henriques,2,2,14,0,88,1,88,6.28,84,0,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
NM Lyon,1,1,9,0,49,1,49,5.44,54,0,0,24-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
MR Marsh,1,1,8,0,43,1,43,5.37,48,0,0,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
DJ Worrall,1,1,10,0,43,1,43,4.3,60,0,0,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
TM Head,5,4,15,0,117,1,117,7.8,90,0,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
MR Marsh,2,2,12,0,59,1,59,4.91,72,0,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
B Stanlake,2,2,13,1,68,1,68,5.23,78,0,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
TM Head,2,1,5,0,21,1,21,4.2,30,0,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
TM Head,3,3,14,0,64,1,64,4.57,84,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
MC Henriques,3,3,11,0,61,1,61,5.54,66,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
JP Faulkner,2,2,15.5,1,104,1,104,6.56,95,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
NM Lyon,2,2,17,0,70,1,70,4.11,102,0,0,21-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
NM Coulter-Nile,1,1,3,0,26,1,26,8.66,18,0,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
PJ Cummins,3,3,26,4,112,1,112,4.3,156,0,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
GJ Maxwell,3,3,7,0,41,1,41,5.85,42,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
MJ Clarke,1,1,1,0,2,0,,2,,0,0,31-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
BCJ Cutting,1,1,6,0,18,0,,3,,0,0,31-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
AJ Finch,5,1,2,0,19,0,,9.5,,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
SPD Smith,3,1,2,0,7,0,,3.5,,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
XJ Doherty,1,1,6,0,31,0,,5.16,,0,0,19-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
AJ Finch,5,1,0.3,0,3,0,,6,,0,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
SR Watson,2,2,12,0,56,0,,4.66,,0,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
XJ Doherty,1,1,7,0,60,0,,8.57,,0,0,08-Mar-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
SPD Smith,8,1,2,0,19,0,,9.5,,0,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MG Johnson,1,1,6,1,68,0,,11.33,,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
MR Marsh,1,1,1,0,11,0,,11,,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
MR Marsh,1,1,3,0,26,0,,8.66,,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
SR Watson,1,1,2,0,12,0,,6,,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
JL Pattinson,2,2,15,1,109,0,,7.26,,0,0,08-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
MP Stoinis,1,1,4,0,17,0,,4.25,,0,0,11-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
GJ Maxwell,4,4,19,0,111,0,,5.84,,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
SPD Smith,5,2,4,0,36,0,,9,,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
GJ Maxwell,3,3,10,0,71,0,,7.1,,0,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
KW Richardson,1,1,10,1,64,0,,6.4,,0,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
AJ Finch,7,3,8,0,40,0,,5,,0,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
TM Head,1,1,6,0,29,0,,4.83,,0,0,13-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
AJ Finch,5,1,2,0,7,0,,3.5,,0,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
DJ Worrall,2,2,16.2,0,128,0,,7.83,,0,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
A Zampa,1,1,7,0,41,0,,5.85,,0,0,05-Feb-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
GJ Maxwell,3,2,3,0,23,0,,7.66,,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
AJ Finch,3,2,3.1,0,18,0,,5.68,,0,0,24-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
TM Head,5,3,14,0,87,0,,6.21,,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
GJ Maxwell,3,1,1,0,2,0,,2,,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
AJ Finch,3,1,3,0,17,0,,5.66,,0,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
TM Head,4,3,9.5,0,70,0,,7.11,,0,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
GJ Maxwell,1,1,3,0,23,0,,7.66,,0,0,28-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
AJ Finch,5,1,1,0,7,0,,7,,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
GJ Maxwell,3,2,4,0,30,0,,7.5,,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
DJM Short,3,3,7,0,59,0,,8.42,,0,0,16-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
GJ Maxwell,3,2,8,0,49,0,,6.12,,0,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
A Zampa,2,2,15,0,89,0,,5.93,,0,0,09-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
NM Lyon,2,2,20,1,109,0,,5.45,,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
B Stanlake,1,1,10,0,49,0,,4.9,,0,0,18-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
A Zampa,1,1,10,0,34,0,,3.4,,0,0,18-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
